id,sent,lemma,hyper,hypo
86,The wooden cabin nestled among the tall trees.,tree,['vegetation'],"['alder tree', 'hazel tree', 'beech tree', 'ash tree', 'fig tree', 'wild fig', 'gum tree', 'spanish elm', 'silver ash', 'elm tree', 'teak', 'silk wood', 'palm tree', 'yellowwood tree', 'sycamore', 'satinwood tree', 'oak', 'tanbark oak', 'red sanders', 'african walnut', 'walnut tree', 'mahogany', 'coffee tree', 'wild orange', 'rose chestnut', 'rosewood tree', 'ivory tree', 'lime tree', 'bottle tree', 'cork tree', 'sandalwood tree', 'marmalade tree', 'willow', 'lancewood tree',  'wild cinnamon', 'christmas tree', 'lemon-wood tree', 'locust tree', 'white mangrove', 'birch', 'granadilla tree', 'chinese scholar tree']"
87,The tattered book held sentimental value.,book,['publication'],"['hardback', 'picture book', 'softback', 'coffee-table book', 'schoolbook', 'textbook', 'appointment book', 'album', 'soft-cover book', 'bestiary', 'prayer book',  'novel', 'tome', 'reference book', 'order book', 'journal', 'sketchbook', 'paperback', 'yearbook', 'hardcover', 'storybook', 'scrapbook', 'bestseller', 'novella', 'book of psalms', 'mystery novel', 'atlas', 'cookbook', 'pocket edition', 'encyclopaedia', 'cookery book', 'annals', 'pocket book', 'handbook', 'diary', 'yearbook']"
89,The majestic palace was a sight to behold.,palace,"['residence', 'building']",['royal palace']
91,The clumsy waiter accidentally spilled the hot soup.,waiter,"['employee', 'person', 'restaurant employee']","['counterwoman', 'wine steward', 'sommelier', 'counterperson', 'counterman']"
92,The clumsy waiter accidentally spilled the hot soup.,soup,['dish'],"['broth', 'vegetable soup', 'potage', 'green pea soup', 'borsh', 'minestrone', 'lentil soup', 'gazpacho', 'oxtail soup', 'chicken soup', 'scotch broth', 'philadelphia pepper pot', 'pottage', 'borsch', 'turtle soup', 'pea soup']"
93,The playful dolphins leaped gracefully in the ocean.,dolphin,['sea animal'],"['river dolphin', 'bottle-nosed dolphin', 'common dolphin', 'orca']"
94,The playful dolphins leaped gracefully in the ocean.,ocean,"['water', 'sea']","['deep ocean', 'ocean surface', 'ocean waves']"
95,The intricate lace adorned her wedding gown.,lace,"['fabric', 'material']","['brussels lace', 'needlepoint', 'macrame', 'point lace', 'bobbin lace', 'valenciennes lace', 'petit point', 'gros point']"
96,The intricate lace adorned her wedding gown.,wedding,['ceremonial'],['elegant wedding']
97,The intricate lace adorned her wedding gown.,gown,['robe'],['dress']
98,The sour taste of the lemon made her pucker her lips.,taste,['feel'],"['flavour', 'bite', 'bitterness', 'savour', 'tang']"
99,The sour taste of the lemon made her pucker her lips.,lemon,"['citrus', 'citrus fruit']","['lime', 'freshly picked lemon']"
101,The sour taste of the lemon made her pucker her lips.,lip,['mouth'],"['underlip', 'overlip']"
105,The wise owl hooted in the quiet night.,owl,"['bird of prey', 'bird', 'raptor']","['owlet', 'long-eared owl', 'tawny owl', 'barn owl', 'horned owl', 'hawk owl', 'spotted owl', 'great gray owl', 'hoot owl']"
107,The multicolored painting brightened the room.,painting,"['piece of art', 'artwork', 'graphic art']","['ikon', 'finger-painting', 'abstract painting', 'wall painting', 'oil painting', 'landscape painting', 'watercolour painting', 'seascape', 'spray painting', 'cityscape', 'still life', 'fresco', 'mural']"
108,The multicolored painting brightened the room.,room,['location'],"['sun parlor', 'sewing room', 'bar', 'sunroom', 'den', 'prison cell', 'billiard parlour', 'parlour', 'control room', 'lounge', 'hospital room', 'dining room', 'reading room', 'squad room', 'waiting room', 'chamber', 'greenroom', 'jail cell', 'study', 'conference room', 'boardroom', 'guardroom', 'dressing room', 'bedroom',  'lobby', 'clubroom', 'kitchen', 'reception room', 'dance hall', 'hall', 'parlor', 'recreation room', 'storeroom', 'saloon', 'furnace room', 'engine room', 'solarium', 'living room', 'scriptorium', 'entrance hall', 'classroom', 'locker room', 'ballroom']"
109,The dusty attic held hidden treasures.,treasure,['wealth'],"['fortune', 'sack of gold', 'jewelry', 'relic']"
110,The modern building contrasted with the historic street.,building,['structure'],"['student residence', 'theater', 'glasshouse', 'skyscraper', 'office building', 'schoolhouse', 'healthcare facility', 'apartment building', 'hotel', 'government building', 'hotel-casino', 'clubhouse', 'hall', 'library', 'temple', 'restaurant', 'chapel']"
111,The modern building contrasted with the historic street.,street,"['road', 'neighbourhood']","['alley', 'alleyway', 'avenue', 'main street', 'back street', 'boulevard', 'side street']"
112,The familiar scent of home greeted her at the door.,scent,"['smell', 'feeling']","['warm scent', 'cosy scent']"
114,The familiar scent of home greeted her at the door.,door,['entrance'],"['front door', 'back door']"
115,The determined athlete trained rigorously.,athlete,"['sportsman', 'person']","['hockey player', 'football player', 'acrobat', 'skater', 'sledder', 'ice-hockey player', 'footballer', 'basketeer', 'skier', 'swimmer', 'soccer player', 'baseball player', 'tennis player', 'cricketer', 'weightlifter', 'gymnast', 'basketball player']"
116,The elaborate fireworks lit up the night sky.,firework,"['spectacle', 'illumination']","['sparklers', 'firecrackers', 'crackers', 'soda crackers',  'cherry bombs', 'rockets']"
117,The elaborate fireworks lit up the night sky.,night,['dark'],"['dark night', 'black night', 'Tuesday night']"
119,The soothing music relaxed her after a long day.,music,['sound'],"['mozart', 'vocal music', 'music of the spheres', 'tune', 'beethoven', 'chopin', 'wagner', 'overture', 'chorus', 'concerted music', 'vocal music', 'instrumental music',  'piano music', 'stravinsky', 'bach', 'polyphonic music', 'dance music']"
120,The soothing music relaxed her after a long day.,day,['period of time'],"['work day', 'field day', 'school day']"
121,The quiet boy surprised everyone with his talent.,boy,['child'],"['junior', 'schoolboy', 'laddie', 'farm boy', 'scout', 'lad', 'altar boy', 'kid',  'preschooler', 'teenager']"
122,The quiet boy surprised everyone with his talent.,talent,['skills'],"['genius', 'raw talent', 'musical talent']"
123,The playful squirrel darted up the tree.,squirrel,"['rodent', 'animal']","['chipmunk', 'striped squirrel', 'tree squirrel', 'eastern chipmunk', 'american flying squirrel', 'spruce squirrel', 'rock squirrel', 'western gray squirrel', 'eastern grey squirrel', 'american red squirrel', 'eastern fox squirrel', 'red squirrel', 'eastern gray squirrel', 'flickertail', 'chickeree', 'black squirrel', 'western grey squirrel']"
124,The playful squirrel darted up the tree.,tree,['woody plant'],"['alder tree', 'hazel tree', 'beech tree', 'ash tree', 'fig tree', 'wild fig', 'gum tree', 'spanish elm', 'silver ash', 'elm tree', 'teak', 'silk wood', 'palm tree', 'yellowwood tree', 'sycamore', 'satinwood tree', 'oak', 'tanbark oak', 'red sanders', 'african walnut', 'walnut tree', 'mahogany', 'coffee tree', 'wild orange', 'rose chestnut', 'rosewood tree', 'ivory tree', 'lime tree', 'bottle tree', 'cork tree', 'sandalwood tree', 'marmalade tree', 'willow', 'lancewood tree',  'wild cinnamon', 'christmas tree', 'lemon-wood tree', 'locust tree', 'white mangrove', 'birch', 'granadilla tree', 'chinese scholar tree']"
125,The turbulent sea crashed against the shore.,sea,['water'],"['south sea', 'north sea', 'ocean', 'sea waves', 'ocean waves']"
126,The turbulent sea crashed against the shore.,shore,['coast'],"['seashore', 'beach', 'sandy beach', 'rocky shore', 'seaside']"
127,The ancient parchment revealed secrets of the past.,parchment,"['scripture', 'artifact', 'piece']",['crumbling parchment']
128,The ancient parchment revealed secrets of the past.,secret,['information'],"['esoteric secret', 'trade secret', 'hidden secret', 'lost secret']"
129,The ancient parchment revealed secrets of the past.,past,"['period', 'period of time']","['remote past', 'times long gone', 'ancient times']"
133,The bustling market was filled with colorful stalls.,market,['trading venue'],"['marketplace', 'market square', 'flea market', 'open-air market', 'food market', 'bazaar']"
134,The bustling market was filled with colorful stalls.,stall,"['compartment', 'table']","['coffee stall', 'newsstand', 'vegetable stall', 'fruit stall']"
136,The vibrant sunset painted the sky in hues of orange and purple.,sky,"['atmosphere', 'wild blue yonder']","['afternoon ski', 'winter ski']"
137,The vibrant sunset painted the sky in hues of orange and purple.,hue,['colour'],"['distinct hue', 'warm hue']"
140,A curious kitten chased a fluttering butterfly in the garden.,kitten,"['animal', 'cat']","['house kitten', 'siamese kitten', 'angora kitten']"
141,A curious kitten chased a fluttering butterfly in the garden.,butterfly,['distratction'],"['yellow butterfly', 'ringlet butterfly', 'brush-footed butterfly']"
142,A curious kitten chased a fluttering butterfly in the garden.,garden,"['plot', 'grounds',  'vegetation']","['rock garden', 'vegetable patch', 'herb garden', 'kitchen garden', 'vegetable garden', 'rose garden', 'flower garden', 'orchard']"
143,The towering trees whispered ancient secrets in the forest.,tree,"['woody plant', 'giant']","['alder tree', 'hazel tree', 'beech tree', 'ash tree', 'fig tree', 'wild fig', 'gum tree', 'spanish elm', 'silver ash', 'elm tree', 'teak', 'silk wood', 'palm tree', 'yellowwood tree', 'sycamore', 'satinwood tree', 'oak', 'tanbark oak', 'red sanders', 'african walnut', 'walnut tree', 'mahogany', 'coffee tree', 'wild orange', 'rose chestnut', 'rosewood tree', 'ivory tree', 'lime tree', 'bottle tree', 'cork tree', 'sandalwood tree', 'marmalade tree', 'willow', 'lancewood tree',  'wild cinnamon', 'christmas tree', 'lemon-wood tree', 'locust tree', 'white mangrove', 'birch', 'granadilla tree', 'chinese scholar tree']"
144,The towering trees whispered ancient secrets in the forest.,secret,['knowledge'],"['hidden secret', 'lost secret']"
145,The towering trees whispered ancient secrets in the forest.,forest,['wilderness'],"['grove', 'pine forest', 'sycamore forest']"
155,The cozy dimly lit room exuded a warm and inviting atmosphere.,room,['location'],"['sewing room', 'bar', 'den', 'billiard parlour', 'parlour', 'lounge', 'dining room', 'reading room', 'waiting room', 'chamber', 'greenroom', 'study', 'bedroom',  'lobby', 'clubroom', 'kitchen', 'reception room', 'dance hall', 'hall', 'parlor', 'recreation room', 'storeroom', 'saloon', 'solarium', 'living room', 'scriptorium', 'entrance hall', 'ballroom']"
156,A refreshing breeze swept through the open meadow.,breeze,['wind'],"['light breeze', 'moderate breeze', 'strong breeze', 'sea breeze', 'gentle breeze', 'puff of wind', 'air burst']"
157,The joyful laughter of children echoed through the playground.,laughter,['activity'],"['ha-ha', 'snicker', 'cackle', 'giggle']"
158,The joyful laughter of children echoed through the playground.,child,['person'],"['kindergartener', 'street child', 'fosterling', 'rascal', 'kiddy', 'kid', 'orphan', 'toddler', 'foster child', 'preschooler', 'boy', 'girl', 'schoolgirl', 'schoolboy']"
159,The joyful laughter of children echoed through the playground.,playground,"['grounds', 'yard']","['kindergarten playground', 'village playground']"
162,The shiny car glided smoothly down the highway.,car,"['motor vehicle', 'vehicle']","['landrover', 'police cruiser', 'convertible', 'suv', 'sports car', 'taxicab', 'limousine', 'limo', 'coupe', 'hatchback', 'minicar', 'sedan', 'jeep', 'roadster', 'taxi', 'patrol car', 'cab', 'race car', 'electric car', 'passenger car', 'cruiser']"
163,The shiny car glided smoothly down the highway.,highway,"['route', 'road']","['dual carriageway', 'interstate', 'divided highway', 'state highway', 'superhighway', 'interstate highway']"
164,A majestic mountain stood tall against the horizon.,mountain,['geological formation'],"['seamount', 'alp', 'volcano', 'hill']"
166,The weathered book held stories of distant lands and adventures.,book,['publication'],"['hardback', 'picture book', 'softback', 'coffee-table book', 'soft-cover book', 'novel', 'tome', 'journal', 'paperback', 'hardcover', 'storybook', 'bestseller', 'novella', 'mystery novel', 'pocket edition', 'pocket book', 'diary']"
167,The weathered book held stories of distant lands and adventures.,story,['tale'],"['myth', 'adventure story', 'heroic tale', 'short story', 'fable', 'legend', 'mystery story']"
168,The weathered book held stories of distant lands and adventures.,land,['place'],"['foreign land', 'empire', 'country', 'continent', 'shore']"
169,The weathered book held stories of distant lands and adventures.,adventure,"['undertaking', 'activity']","['exciting adventure', 'brave adventure', 'mysterious adventure']"
170,The juicy apple was a delight to bite into.,apple,['fruit'],"['red apple', 'delicious red apple', 'crab apple', 'dessert apple']"
171,The juicy apple was a delight to bite into.,delight,['pleasure'],['absolute delight']
172,"A soothing melody played in the background, calming the room.",melody,['music'],"['music of the spheres', 'tune', 'vocal music', 'instrumental music',  'piano music']"
174,"A soothing melody played in the background, calming the room.",room,['environment'],"['passers-by', 'people passing by', 'customers', 'travellers', 'lounge', 'waiting room', 'lobby', 'reception room']"
175,An abandoned house stood silent at the end of the street.,house,['building'],"['lounge', 'waiting room', 'lobby', 'reception room']"
177,An abandoned house stood silent at the end of the street.,street,"['route', 'road']","['alley', 'alleyway', 'avenue', 'main street', 'back street', 'boulevard', 'side street']"
