,sent_id,sent,lemma,hyper,hypo,word,form,start,tokenized_sent
26,15,The intricate design on the ancient vase fascinated the visitors.,design,['quality'],"['shape', 'decoration', 'artwork']",design,singular,2,"['The', 'intricate', 'design', 'on', 'the', 'ancient', 'vase', 'fascinated', 'the', 'visitors', '.']"
27,15,The intricate design on the ancient vase fascinated the visitors.,vase,"['piece of cutlery', 'pottery']","['urn', 'flower vase']",vase,singular,6,"['The', 'intricate', 'design', 'on', 'the', 'ancient', 'vase', 'fascinated', 'the', 'visitors', '.']"
28,15,The intricate design on the ancient vase fascinated the visitors.,visitor,"['person', 'individual']","['guest', 'invitee', 'guest of honour']",visitors,plural,9,"['The', 'intricate', 'design', 'on', 'the', 'ancient', 'vase', 'fascinated', 'the', 'visitors', '.']"
29,16,The mischievous kitten batted at a colorful ball.,kitten,"['animal', 'cat']","['house kitten', 'siamese kitten', 'angora kitten']",kitten,singular,2,"['The', 'mischievous', 'kitten', 'batted', 'at', 'a', 'colorful', 'ball', '.']"
30,16,The mischievous kitten batted at a colorful ball.,ball,"['toy', 'sphere']","['beach ball', 'playground ball', 'squash ball', 'tennis ball']",ball,singular,7,"['The', 'mischievous', 'kitten', 'batted', 'at', 'a', 'colorful', 'ball', '.']"
31,17,The strict teacher maintained order in the busy classroom.,teacher,"['educator', 'pedagogue', 'professional']","['private instructor', 'french teacher', 'governess', 'school teacher', 'science teacher', 'math teacher', 'english teacher']",teacher,singular,2,"['The', 'strict', 'teacher', 'maintained', 'order', 'in', 'the', 'busy', 'classroom', '.']"
32,17,The strict teacher maintained order in the busy classroom.,classroom,['room'],"['computer lab', 'math classroom']",classroom,singular,8,"['The', 'strict', 'teacher', 'maintained', 'order', 'in', 'the', 'busy', 'classroom', '.']"
33,18,The cozy blanket kept her warm on the chilly evening.,blanket,['cover'],"['security blanket', 'mackinaw blanket', 'warm blanket', 'colorful blanket']",blanket,singular,2,"['The', 'cozy', 'blanket', 'kept', 'her', 'warm', 'on', 'the', 'chilly', 'evening', '.']"
34,18,The cozy blanket kept her warm on the chilly evening.,evening,['times'],"['guest night', 'late evening']",evening,singular,9,"['The', 'cozy', 'blanket', 'kept', 'her', 'warm', 'on', 'the', 'chilly', 'evening', '.']"
35,19,The fresh air invigorated the hikers on the trail.,hiker,"['traveler', 'person', 'walker']","['packer', 'backpacker']",hikers,plural,5,"['The', 'fresh', 'air', 'invigorated', 'the', 'hikers', 'on', 'the', 'trail', '.']"
36,19,The fresh air invigorated the hikers on the trail.,trail,['path'],"['horse-trail', 'indian trail', 'cattle trail', 'mountain trail', 'deer trail', 'ski trail']",trail,singular,8,"['The', 'fresh', 'air', 'invigorated', 'the', 'hikers', 'on', 'the', 'trail', '.']"
37,20,The resilient tree weathered the strong storm.,tree,"['plant', 'flora']","['alder tree', 'hazel tree', 'beech tree', 'ash tree', 'fig tree', 'wild fig', 'gum tree', 'spanish elm', 'silver ash', 'elm tree', 'teak', 'silk wood', 'palm tree', 'yellowwood tree', 'sycamore', 'satinwood tree', 'oak', 'tanbark oak', 'red sanders', 'african walnut', 'walnut tree', 'mahogany', 'coffee tree', 'wild orange', 'rose chestnut', 'rosewood tree', 'ivory tree', 'lime tree', 'bottle tree', 'cork tree', 'sandalwood tree', 'marmalade tree', 'willow', 'lancewood tree', 'wild cinnamon', 'christmas tree', 'lemon-wood tree', 'locust tree', 'white mangrove', 'birch', 'granadilla tree', 'chinese scholar tree']",tree,singular,2,"['The', 'resilient', 'tree', 'weathered', 'the', 'strong', 'storm', '.']"
38,20,The resilient tree weathered the strong storm.,storm,['wind'],"['snowstorm', 'windstorm', 'rainstorm', 'ice storm', 'hailstorm', 'thunderstorm', 'electrical storm', 'blizzard']",storm,singular,6,"['The', 'resilient', 'tree', 'weathered', 'the', 'strong', 'storm', '.']"
39,21,The delicious soup filled the kitchen with a savory aroma.,soup,"['dish', 'food']","['broth', 'vegetable soup', 'potage', 'green pea soup', 'borsh', 'minestrone', 'lentil soup', 'gazpacho', 'oxtail soup', 'chicken soup', 'scotch broth', 'philadelphia pepper pot', 'pottage', 'borsch', 'turtle soup', 'pea soup']",soup,singular,2,"['The', 'delicious', 'soup', 'filled', 'the', 'kitchen', 'with', 'a', 'savory', 'aroma', '.']"
40,21,The delicious soup filled the kitchen with a savory aroma.,kitchen,['room'],"['kitchenette', 'galley']",kitchen,singular,5,"['The', 'delicious', 'soup', 'filled', 'the', 'kitchen', 'with', 'a', 'savory', 'aroma', '.']"
41,22,The energetic puppy dashed around the spacious yard.,puppy,"['domestic animal', 'animal', 'dog', 'creature']","['newfoundland puppy', 'spitz puppy', 'dalmatian puppy', 'poodle puppy', 'collie puppy', 'german shepherd puppy', 'terrier puppy', 'spaniel puppy']",puppy,singular,2,"['The', 'energetic', 'puppy', 'dashed', 'around', 'the', 'spacious', 'yard', '.']"
42,22,The energetic puppy dashed around the spacious yard.,yard,"['enclosure', 'area']","['playground', 'churchyard', 'schoolyard', 'backyard', 'chicken yard', 'front yard', 'farmyard']",yard,singular,7,"['The', 'energetic', 'puppy', 'dashed', 'around', 'the', 'spacious', 'yard', '.']"
43,23,The rusted key unlocked the mysterious chest.,key,['access device'],"['latchkey', 'master key']",key,singular,2,"['The', 'rusted', 'key', 'unlocked', 'the', 'mysterious', 'chest', '.']"
44,23,The rusted key unlocked the mysterious chest.,chest,"['box', 'container']","['sea chest', 'cedar chest', 'wedding chest', 'coffer', 'toy box', 'treasure chest', 'tool case']",chest,singular,6,"['The', 'rusted', 'key', 'unlocked', 'the', 'mysterious', 'chest', '.']"
45,24,Her radiant smile lit up the entire room.,smile,"['facial expression', 'expression']",['smirk'],smile,singular,2,"['Her', 'radiant', 'smile', 'lit', 'up', 'the', 'entire', 'room', '.']"
46,24,Her radiant smile lit up the entire room.,room,['place'],"['sun parlor', 'sewing room', 'bar', 'sunroom', 'den', 'prison cell', 'billiard parlour', 'parlour', 'control room', 'lounge', 'hospital room', 'dining room', 'reading room', 'squad room', 'waiting room', 'chamber', 'greenroom', 'jail cell', 'study', 'conference room', 'boardroom', 'guardroom', 'dressing room', 'bedroom', 'lobby', 'clubroom', 'kitchen', 'reception room', 'dance hall', 'hall', 'parlor', 'recreation room', 'storeroom', 'saloon', 'furnace room', 'engine room', 'solarium', 'living room', 'scriptorium', 'entrance hall', 'classroom', 'locker room', 'ballroom']",room,singular,7,"['Her', 'radiant', 'smile', 'lit', 'up', 'the', 'entire', 'room', '.']"
47,25,The sharp scent of onions made her eyes water.,scent,['smell'],['tear-inducing scent'],scent,singular,2,"['The', 'sharp', 'scent', 'of', 'onions', 'made', 'her', 'eyes', 'water', '.']"
48,25,The sharp scent of onions made her eyes water.,onion,['vegetable'],"['scallion', 'green onion', 'egyptian onion', 'bermuda onion', 'japanese leek', 'spanish onion', 'shallot', 'red-skinned onion', 'welsh onion', 'spring onion']",onions,plural,4,"['The', 'sharp', 'scent', 'of', 'onions', 'made', 'her', 'eyes', 'water', '.']"
49,26,The serene lake mirrored the surrounding mountains.,lake,"['body of water', 'water']","['lagoon', 'pond', 'artificial lake']",lake,singular,2,"['The', 'serene', 'lake', 'mirrored', 'the', 'surrounding', 'mountains', '.']"
50,26,The serene lake mirrored the surrounding mountains.,mountain,"['geological formation', 'natural elevation']","['seamount', 'alp', 'volcano', 'hill']",mountains,plural,6,"['The', 'serene', 'lake', 'mirrored', 'the', 'surrounding', 'mountains', '.']"
51,27,The polished stone skipped across the glassy lake.,stone,['object'],"['springer', 'whetstone']",stone,singular,2,"['The', 'polished', 'stone', 'skipped', 'across', 'the', 'glassy', 'lake', '.']"
52,27,The polished stone skipped across the glassy lake.,lake,"['body of water', 'water']","['lagoon', 'pond', 'artificial lake', 'pool']",lake,singular,7,"['The', 'polished', 'stone', 'skipped', 'across', 'the', 'glassy', 'lake', '.']"
53,28,The booming thunder startled the children.,thunder,"['noise', 'sound']",['thunderclap'],thunder,singular,2,"['The', 'booming', 'thunder', 'startled', 'the', 'children', '.']"
54,28,The booming thunder startled the children.,child,"['person', 'individual']","['kindergartener', 'street child', 'fosterling', 'rascal', 'kiddy', 'kid', 'orphan', 'toddler', 'foster child', 'preschooler', 'boy', 'girl']",children,plural,5,"['The', 'booming', 'thunder', 'startled', 'the', 'children', '.']"
55,29,The slender ballerina glided elegantly across the stage.,ballerina,"['dancer', 'performer', 'performing artist']",['prima ballerina'],ballerina,singular,2,"['The', 'slender', 'ballerina', 'glided', 'elegantly', 'across', 'the', 'stage', '.']"
56,29,The slender ballerina glided elegantly across the stage.,stage,"['scene', 'setting']","['theatre stage', 'forestage', 'stage boards']",stage,singular,7,"['The', 'slender', 'ballerina', 'glided', 'elegantly', 'across', 'the', 'stage', '.']"
57,30,The frosty morning glistened with dew.,dew,"['condensation', 'droplets']",['misty dew'],dew,singular,5,"['The', 'frosty', 'morning', 'glistened', 'with', 'dew', '.']"
58,31,The curious child asked endless questions about the world.,child,"['person', 'creature']","['kindergartener', 'street child', 'fosterling', 'rascal', 'kiddy', 'kid', 'orphan', 'toddler', 'foster child', 'preschooler', 'boy', 'girl', 'schoolgirl', 'schoolboy']",child,singular,2,"['The', 'curious', 'child', 'asked', 'endless', 'questions', 'about', 'the', 'world', '.']"
59,32,The wooden cabin nestled among the tall trees.,cabin,"['house', 'residence', 'habitation', 'building']",['log cabin'],cabin,singular,2,"['The', 'wooden', 'cabin', 'nestled', 'among', 'the', 'tall', 'trees', '.']"
60,32,The wooden cabin nestled among the tall trees.,tree,['vegetation'],"['alder tree', 'hazel tree', 'beech tree', 'ash tree', 'fig tree', 'wild fig', 'gum tree', 'spanish elm', 'silver ash', 'elm tree', 'teak', 'silk wood', 'palm tree', 'yellowwood tree', 'sycamore', 'satinwood tree', 'oak', 'tanbark oak', 'red sanders', 'african walnut', 'walnut tree', 'mahogany', 'coffee tree', 'wild orange', 'rose chestnut', 'rosewood tree', 'ivory tree', 'lime tree', 'bottle tree', 'cork tree', 'sandalwood tree', 'marmalade tree', 'willow', 'lancewood tree', 'wild cinnamon', 'christmas tree', 'lemon-wood tree', 'locust tree', 'white mangrove', 'birch', 'granadilla tree', 'chinese scholar tree']",trees,plural,7,"['The', 'wooden', 'cabin', 'nestled', 'among', 'the', 'tall', 'trees', '.']"
61,33,The tattered book held sentimental value.,book,['publication'],"['hardback', 'picture book', 'softback', 'coffee-table book', 'schoolbook', 'textbook', 'appointment book', 'album', 'soft-cover book', 'bestiary', 'prayer book', 'novel', 'tome', 'reference book', 'order book', 'journal', 'sketchbook', 'paperback', 'yearbook', 'hardcover', 'storybook', 'scrapbook', 'bestseller', 'novella', 'book of psalms', 'mystery novel', 'atlas', 'cookbook', 'pocket edition', 'encyclopaedia', 'cookery book', 'annals', 'pocket book', 'handbook', 'diary', 'yearbook']",book,singular,2,"['The', 'tattered', 'book', 'held', 'sentimental', 'value', '.']"
62,34,The majestic palace was a sight to behold.,palace,"['residence', 'building']",['royal palace'],palace,singular,2,"['The', 'majestic', 'palace', 'was', 'a', 'sight', 'to', 'behold', '.']"
63,35,The clumsy waiter accidentally spilled the hot soup.,waiter,"['employee', 'person', 'restaurant employee']","['counterwoman', 'wine steward', 'sommelier', 'counterperson', 'counterman']",waiter,singular,2,"['The', 'clumsy', 'waiter', 'accidentally', 'spilled', 'the', 'hot', 'soup', '.']"
64,35,The clumsy waiter accidentally spilled the hot soup.,soup,['dish'],"['broth', 'vegetable soup', 'potage', 'green pea soup', 'borsh', 'minestrone', 'lentil soup', 'gazpacho', 'oxtail soup', 'chicken soup', 'scotch broth', 'philadelphia pepper pot', 'pottage', 'borsch', 'turtle soup', 'pea soup']",soup,singular,7,"['The', 'clumsy', 'waiter', 'accidentally', 'spilled', 'the', 'hot', 'soup', '.']"
65,36,The playful dolphins leaped gracefully in the ocean.,dolphin,['sea animal'],"['river dolphin', 'bottle-nosed dolphin', 'common dolphin', 'orca']",dolphins,plural,2,"['The', 'playful', 'dolphins', 'leaped', 'gracefully', 'in', 'the', 'ocean', '.']"
66,36,The playful dolphins leaped gracefully in the ocean.,ocean,"['water', 'sea']","['deep ocean', 'ocean surface', 'ocean waves']",ocean,singular,7,"['The', 'playful', 'dolphins', 'leaped', 'gracefully', 'in', 'the', 'ocean', '.']"
67,37,The intricate lace adorned her wedding gown.,lace,"['fabric', 'material']","['brussels lace', 'needlepoint', 'macrame', 'point lace', 'bobbin lace', 'valenciennes lace', 'petit point', 'gros point']",lace,singular,2,"['The', 'intricate', 'lace', 'adorned', 'her', 'wedding', 'gown', '.']"
68,37,The intricate lace adorned her wedding gown.,wedding,['ceremonial'],['elegant wedding'],wedding,singular,5,"['The', 'intricate', 'lace', 'adorned', 'her', 'wedding', 'gown', '.']"
69,37,The intricate lace adorned her wedding gown.,gown,['robe'],['dress'],gown,singular,6,"['The', 'intricate', 'lace', 'adorned', 'her', 'wedding', 'gown', '.']"
70,38,The sour taste of the lemon made her pucker her lips.,taste,['feel'],"['flavour', 'bite', 'bitterness', 'savour', 'tang']",taste,singular,2,"['The', 'sour', 'taste', 'of', 'the', 'lemon', 'made', 'her', 'pucker', 'her', 'lips', '.']"
71,38,The sour taste of the lemon made her pucker her lips.,lemon,"['citrus', 'citrus fruit']","['lime', 'freshly picked lemon']",lemon,singular,5,"['The', 'sour', 'taste', 'of', 'the', 'lemon', 'made', 'her', 'pucker', 'her', 'lips', '.']"
72,38,The sour taste of the lemon made her pucker her lips.,lip,['mouth'],"['underlip', 'overlip']",lips,plural,10,"['The', 'sour', 'taste', 'of', 'the', 'lemon', 'made', 'her', 'pucker', 'her', 'lips', '.']"
73,39,The wise owl hooted in the quiet night.,owl,"['bird of prey', 'bird', 'raptor']","['owlet', 'long-eared owl', 'tawny owl', 'barn owl', 'horned owl', 'hawk owl', 'spotted owl', 'great gray owl', 'hoot owl']",owl,singular,2,"['The', 'wise', 'owl', 'hooted', 'in', 'the', 'quiet', 'night', '.']"
74,40,The multicolored painting brightened the room.,painting,"['piece of art', 'artwork', 'graphic art']","['ikon', 'finger-painting', 'abstract painting', 'wall painting', 'oil painting', 'landscape painting', 'watercolour painting', 'seascape', 'spray painting', 'cityscape', 'still life', 'fresco', 'mural']",painting,singular,2,"['The', 'multicolored', 'painting', 'brightened', 'the', 'room', '.']"
75,40,The multicolored painting brightened the room.,room,['location'],"['sun parlor', 'sewing room', 'bar', 'sunroom', 'den', 'prison cell', 'billiard parlour', 'parlour', 'control room', 'lounge', 'hospital room', 'dining room', 'reading room', 'squad room', 'waiting room', 'chamber', 'greenroom', 'jail cell', 'study', 'conference room', 'boardroom', 'guardroom', 'dressing room', 'bedroom', 'lobby', 'clubroom', 'kitchen', 'reception room', 'dance hall', 'hall', 'parlor', 'recreation room', 'storeroom', 'saloon', 'furnace room', 'engine room', 'solarium', 'living room', 'scriptorium', 'entrance hall', 'classroom', 'locker room', 'ballroom']",room,singular,5,"['The', 'multicolored', 'painting', 'brightened', 'the', 'room', '.']"
76,41,The dusty attic held hidden treasures.,treasure,['wealth'],"['fortune', 'sack of gold', 'jewelry', 'relic']",treasures,plural,5,"['The', 'dusty', 'attic', 'held', 'hidden', 'treasures', '.']"
77,42,The modern building contrasted with the historic street.,building,['structure'],"['student residence', 'theater', 'glasshouse', 'skyscraper', 'office building', 'schoolhouse', 'healthcare facility', 'apartment building', 'hotel', 'government building', 'hotel-casino', 'clubhouse', 'hall', 'library', 'temple', 'restaurant', 'chapel']",building,singular,2,"['The', 'modern', 'building', 'contrasted', 'with', 'the', 'historic', 'street', '.']"
78,42,The modern building contrasted with the historic street.,street,"['road', 'neighbourhood']","['alley', 'alleyway', 'avenue', 'main street', 'back street', 'boulevard', 'side street']",street,singular,7,"['The', 'modern', 'building', 'contrasted', 'with', 'the', 'historic', 'street', '.']"
79,43,The familiar scent of home greeted her at the door.,scent,"['smell', 'feeling']","['warm scent', 'cosy scent']",scent,singular,2,"['The', 'familiar', 'scent', 'of', 'home', 'greeted', 'her', 'at', 'the', 'door', '.']"
80,43,The familiar scent of home greeted her at the door.,door,['entrance'],"['front door', 'back door']",door,singular,9,"['The', 'familiar', 'scent', 'of', 'home', 'greeted', 'her', 'at', 'the', 'door', '.']"
81,44,The determined athlete trained rigorously.,athlete,"['sportsman', 'person']","['hockey player', 'football player', 'acrobat', 'skater', 'sledder', 'ice-hockey player', 'footballer', 'basketeer', 'skier', 'swimmer', 'soccer player', 'baseball player', 'tennis player', 'cricketer', 'weightlifter', 'gymnast', 'basketball player']",athlete,singular,2,"['The', 'determined', 'athlete', 'trained', 'rigorously', '.']"
82,45,The elaborate fireworks lit up the night sky.,firework,"['spectacle', 'illumination']","['sparklers', 'firecrackers', 'crackers', 'soda crackers', 'cherry bombs', 'rockets']",fireworks,plural,2,"['The', 'elaborate', 'fireworks', 'lit', 'up', 'the', 'night', 'sky', '.']"
83,45,The elaborate fireworks lit up the night sky.,night,['dark'],"['dark night', 'black night', 'Tuesday night']",night,singular,6,"['The', 'elaborate', 'fireworks', 'lit', 'up', 'the', 'night', 'sky', '.']"
84,46,The soothing music relaxed her after a long day.,music,['sound'],"['mozart', 'vocal music', 'music of the spheres', 'tune', 'beethoven', 'chopin', 'wagner', 'overture', 'chorus', 'concerted music', 'vocal music', 'instrumental music', 'piano music', 'stravinsky', 'bach', 'polyphonic music', 'dance music']",music,singular,2,"['The', 'soothing', 'music', 'relaxed', 'her', 'after', 'a', 'long', 'day', '.']"
85,46,The soothing music relaxed her after a long day.,day,['period of time'],"['work day', 'field day', 'school day']",day,singular,8,"['The', 'soothing', 'music', 'relaxed', 'her', 'after', 'a', 'long', 'day', '.']"
86,47,The quiet boy surprised everyone with his talent.,boy,['child'],"['junior', 'schoolboy', 'laddie', 'farm boy', 'scout', 'lad', 'altar boy', 'kid', 'preschooler', 'teenager']",boy,singular,2,"['The', 'quiet', 'boy', 'surprised', 'everyone', 'with', 'his', 'talent', '.']"
87,47,The quiet boy surprised everyone with his talent.,talent,['skills'],"['genius', 'raw talent', 'musical talent']",talent,singular,7,"['The', 'quiet', 'boy', 'surprised', 'everyone', 'with', 'his', 'talent', '.']"
88,48,The playful squirrel darted up the tree.,squirrel,"['rodent', 'animal']","['chipmunk', 'striped squirrel', 'tree squirrel', 'eastern chipmunk', 'american flying squirrel', 'spruce squirrel', 'rock squirrel', 'western gray squirrel', 'eastern grey squirrel', 'american red squirrel', 'eastern fox squirrel', 'red squirrel', 'eastern gray squirrel', 'flickertail', 'chickeree', 'black squirrel', 'western grey squirrel']",squirrel,singular,2,"['The', 'playful', 'squirrel', 'darted', 'up', 'the', 'tree', '.']"
